# Time-averaged data for fix particle_msd
# TimeStep c_particle_msd[4]
100 0.601949
200 1.22744
300 2.02473
400 2.71424
500 3.2501
600 3.89805
700 4.4457
800 5.18443
900 5.78886
1000 6.17245
1100 7.05738
1200 8.2535
1300 9.61259
1400 10.504
1500 11.6715
1600 12.1919
1700 12.3769
1800 12.4758
1900 13.2034
2000 13.9416
2100 14.4231
2200 15.0034
2300 15.7686
2400 16.4607
2500 17.1878
2600 17.8332
2700 18.5171
2800 18.8819
2900 19.8198
3000 20.5666
3100 21.1583
3200 21.2758
3300 22.2164
3400 22.7962
3500 23.6424
3600 24.3318
3700 25.3445
3800 26.1057
3900 26.1405
4000 26.5146
4100 26.8797
4200 26.9343
4300 28.3137
4400 28.519
4500 28.9949
4600 29.7028
4700 30.7595
4800 31.186
4900 31.339
5000 31.3018
5100 31.9505
5200 32.3842
5300 33.1783
5400 34.5358
5500 35.1524
5600 35.5455
5700 36.2455
5800 35.448
5900 35.9675
6000 36.4993
6100 37.2568
6200 37.7232
6300 38.4135
6400 40.2023
6500 40.5861
6600 40.9787
6700 41.9934
6800 43.615
6900 43.306
7000 43.8505
7100 44.6027
7200 45.9332
7300 46.5072
7400 47.5084
7500 48.0407
7600 48.8903
7700 50.1313
7800 50.5027
7900 51.945
8000 52.9596
8100 53.6224
8200 53.3866
8300 53.9746
8400 53.49
8500 53.683
8600 54.3332
8700 55.5305
8800 56.7503
8900 57.0158
9000 57.7686
9100 58.7658
9200 60.0939
9300 60.0312
9400 60.7575
9500 61.7341
9600 63.7823
9700 63.8763
9800 65.3967
9900 65.5034
10000 66.3832
10100 67.065
10200 67.9514
10300 69.3033
10400 70.239
10500 71.039
10600 73.1613
10700 74.6197
10800 75.5959
10900 76.2532
11000 76.6541
11100 76.1509
11200 76.1835
11300 77.3738
11400 77.2475
11500 78.006
11600 79.0186
11700 78.3571
11800 78.4354
11900 78.1613
12000 78.3347
12100 79.0692
12200 79.2494
12300 79.7984
12400 78.4173
12500 78.3086
12600 78.9634
12700 80.2435
12800 80.958
12900 81.5041
13000 83.2141
13100 84.3942
13200 85.435
13300 85.7573
13400 86.1642
13500 87.4989
13600 88.3852
13700 89.1129
13800 89.4148
13900 89.516
14000 89.9689
14100 90.3964
14200 90.5676
14300 89.5869
14400 90.6799
14500 92.2592
14600 93.0689
14700 92.5462
14800 92.9294
14900 94.7094
15000 95.2867
15100 96.2315
15200 96.3972
15300 97.7709
15400 99.0342
15500 99.2725
15600 99.8337
15700 100.293
15800 100.655
15900 101.097
16000 101.664
16100 102.798
16200 103.819
16300 104.426
16400 105.27
16500 105.229
16600 105.966
16700 105.897
16800 106.876
16900 107.677
17000 108.855
17100 108.967
17200 109.734
17300 110.846
17400 111.332
17500 112.451
17600 112.766
17700 113.758
17800 114.494
17900 114.071
18000 114.351
18100 115.173
18200 116.331
18300 116.163
18400 117.914
18500 119.217
18600 119.405
18700 120.128
18800 120.804
18900 119.927
19000 121.426
19100 122.109
19200 122.715
19300 123.243
19400 126.027
19500 126.815
19600 128.019
19700 129.744
19800 131.291
19900 132.357
20000 134.17
20100 136.151
20200 136.402
20300 135.637
20400 135.513
20500 135.787
20600 136.058
20700 135.925
20800 138.134
20900 139.49
21000 140.484
21100 140.819
21200 139.974
21300 140.721
21400 141.358
21500 141.939
21600 141.946
21700 143.132
21800 143.624
21900 145.189
22000 147.484
22100 149.695
22200 149.527
22300 150.486
22400 152.245
22500 152.437
22600 153.7
22700 152.843
22800 153.314
22900 153.466
23000 153.617
23100 154.708
23200 154.208
23300 155.605
23400 156.577
23500 157.964
23600 157.916
23700 159.842
23800 160.686
23900 160.688
24000 161.593
24100 161.888
24200 163.558
24300 164.171
24400 165.588
24500 165.706
24600 166.893
24700 167.513
24800 168.433
24900 169.657
25000 173.297
25100 174.064
25200 174.242
25300 174.853
25400 176.113
25500 175.161
25600 178.242
25700 180.173
25800 182.335
25900 183.127
26000 184.894
26100 185.542
26200 184.587
26300 185.68
26400 185.455
26500 186.243
26600 186.366
26700 185.004
26800 186.084
26900 186.252
27000 189.447
27100 191.698
27200 191.7
27300 192.405
27400 191.662
27500 190.555
27600 189.64
27700 188.464
27800 189.717
27900 192.222
28000 193.102
28100 194.701
28200 195.46
28300 195.867
28400 197.553
28500 198.451
28600 199.441
28700 200.523
28800 203.315
28900 203.543
29000 204.267
29100 205.329
29200 206.729
29300 207.29
29400 206.758
29500 207.005
29600 208.537
29700 209.262
29800 210.606
29900 211.052
30000 211.7
30100 212.153
30200 213.715
30300 215.269
30400 216.548
30500 216.913
30600 218.619
30700 217.363
30800 218.952
30900 220.56
31000 220.906
31100 220.973
31200 222.232
31300 223.42
31400 224.55
31500 223.557
31600 223.967
31700 224.6
31800 224.42
31900 225.006
32000 225.838
32100 227.676
32200 228.287
32300 229.974
32400 230.169
32500 231.892
32600 233.516
32700 236.415
32800 239.403
32900 239.651
33000 239.758
33100 238.537
33200 240.622
